atomid,x [Å],y [Å],z [Å]
1,-0.7775231838141374,-2.2889884458346117,-1.4529448158886922
2,-0.7775231838141374,-2.2889884458346117,1.452942338517348
3,0.7775258300978765,2.288988445837782,-1.4529448158886922
4,0.7775258300978765,2.288988445837782,1.452942338517348
5,1.7523281435627323,-0.5262115534688032,-2.04130642222198
6,1.7523281435627323,-0.5262115534688032,2.0413039448506356
7,-1.752325497278993,0.5262115534719731,-2.04130642222198
8,-1.752325497278993,0.5262115534719731,2.0413039448506356
9,1.7865671514274504,-1.5281187116220223,-3.494249999425
10,-1.7865645051437116,1.5281187116251922,-3.494249999425
11,-0.7432841759494191,-1.2870812876813926,0
12,0.7432868222331579,1.2870812876845625,0
13,0.8288514538276983,-0.04309508158780018,-3.494249999425
14,-0.8288488075439597,0.04309508159097053,-3.494249999425
15,-1.7009998735491711,-2.7721049177156147,0
16,1.7010025198329095,2.7721049177187846,0
17,-1.7157843247063616,-1.2329224700947325,-2.612392462682173
18,-1.7157843247063616,-1.2329224700947325,2.6123899853108283
19,1.7157869709901,1.2329224700979018,-2.612392462682173
20,1.7157869709901,1.2329224700979018,2.6123899853108283
21,-0.8140643563867691,1.582277529211853,-0.8818587754284994
22,-0.8140643563867691,1.582277529211853,0.8818562980571554
23,0.8140670026705084,-1.5822775292086824,-0.8818587754284994
24,0.8140670026705084,-1.5822775292086824,0.8818562980571554
25,-0.8561813212849392,-2.7124283081303138,-3.494249999425
26,0.8561839675686782,2.7124283081334837,-3.494249999425
27,1.6736700060919296,-0.10277169117310114,0
28,-1.6736673598081913,0.10277169117627105,0
